"nrx-1","mir-1","unc-49","nlg-1","unc-25","unc-97","lim-6","lat-2","ptp-3","sup-17","pkd-2"
"folder_2016-10-15_file_525 day 36-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_10-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_7-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_8-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-15_file_525 nrx1 wy778 day 3_9-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day37-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 day3_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_7-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_8-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-18_file_525 nrx wy778 day3_9-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_525 nrx wy778 day 3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_1-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_10-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_2-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_3-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_4-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_5-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_6-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_7-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_8-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-21_file_541 mir-1 day 3_9-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 day 3 _1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 day 3 _2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 day 3 _3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 day 3 _4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 day 3 _5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 nrx wy778 day3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 nrx wy778 day3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 nrx wy778 day3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 nrx wy778 day3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 nrx wy778 day3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 nrx wy778 day3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 nrx wy778 day3_7-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_525 nrx wy778 day3_8-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 mir-1 day 3_1-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 mir-1 day 3_2-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 mir-1 day 3_3-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 mir-1 day 3_4-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 mir-1 day 3_5-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-27_file_541 mir-1 day 3_6-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_541 day 1_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_541 day 1_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_541 day 1_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_541 day 1_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_541 day 1_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_541 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 1_1-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 1_2-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 1_3-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 1_4-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 1_5-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 3_1-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 3_2-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 3_3-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 3_4-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 3_5-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 3_6-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-10-7_file_mir-1 541 day 3_7-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 nrx-1 wy778 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 nrx-1 wy778 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 nrx-1 wy778 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 nrx-1 wy778 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 nrx-1 wy778 day 3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 nrx-1 wy778 day 3_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 nrx-1 wy778 day 3_7-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-3_file_525 nrx-1 wy778 day 3_8-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 day 3_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 day 3_7-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_1-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_10-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_11-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_2-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_3-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_4-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_5-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_6-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_7-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_8-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 mir1 day 3_9-exported_dist.txt",0,1,0,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-19 day 3_1-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_10-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_11-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_12-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_2-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_3-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_5-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_6-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_7-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_8-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-5_file_541 unc-49 day 3_9-exported_dist.txt",0,0,1,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 day 3_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 nrx-1 wy778 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 nrx-1 wy778 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 nrx-1 wy778 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-11-8_file_525 nrx-1 wy778 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_525 day 5_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_525 day 5_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_525 day 5_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_525 day 5_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_525 day 5_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_525 day 5_6-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_525 day 5_7-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_nrx-1 525 day 5_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_nrx-1 525 day 5_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_nrx-1 525 day 5_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_nrx-1 525 day 5_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_nrx-1 525 day 5_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_nrx-1 525 day 5_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_nrx-1 525 day 5_7-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-15_file_nrx-1 525 day 5_8-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 day 1_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 day 1_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 day 5_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 day 5_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 day 5_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 day 5_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 1_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-5-24_file_525 nrx-1 day 5_6-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  day 3_5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525  nrx-1 day 3_5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-6-4_file_525 day 2_4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
